produit	libellé	origine	résumé	description	prix TTC	grammage	conditionnement	TVA	réference	Photos	Temps d'infusion 	Température	Quantité/L	Non actif
Assam TGFOP second flush rembeng bio	Thé noir bio	Inde	Ce thé Assam bio, riche en saveurs et en arômes avec une touche légèrement malte, provient de la célèbre plantation de Rembeng, qui est connue pour ces thés d'excellente qualité et son agriculture biologique. La récolte second flush est la plus prisée des deux récoltes généralement éffectuées. Elle se fait en été.	Thé noir Assam OP issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"12.90€
6.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNAS1	"assam_TGFOP_second_flush_rembeng_bio_sachet.jpg
assam_TGFOP_second_flush_rembeng_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Ceylon OP venture bio	Thé noir bio	Sri Lanka	Ce thé de Ceylon OP venture bio est issu d'un grand jardin de l'île de Ceylan. Il donne une tasse à l'aspect cuivré et un goût vif et puissant. Il est idéal pour le petit déjeuner. C'est un grand classique tonique pour le matin.	Thé noir Ceylan OP issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"10.70€
5.50€"	"100gr
50gr"	sachet kraft	5.50%	TNC01	"ceylon_OP_venture_bio_sachet.jpg
ceylon_OP_venture_bio_vrac.jpg"	3-5 mn	100°C	13g/L	
English breakfast broken bio	Thé noir mélange bio		Ce thé English Breakfast broken bio est un mélange de thés noir Assam donnant une tasse jaune dorée et une liqueur hautement arômatique. Il se marie très bien avec du lait ou de la crème.	Thé noir Assam BOP, thé noir Assam CTC ; tous issus de l'agriculture biologique, non aromatisés. Classification des feuilles broken. 	"8.90€
4.90€"	"100gr
50gr"	sachet kraft	5,50 %	TNM01	"english_breakfast_broken_bio_sachet.jpg
english_breakfast_broken_bio_vrac.jpg"	3-5 mn	100°C	12g/L	
Thés blancs bruts			Thés blancs bruts											
Vietnam mao feng bio	Thé blanc bio	Vietnam	Sa tasse claire jaune/verte, son goût bouqueté et son arôme fin et doux en font un thé delicieux.	Thé blanc issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"12.50€
6.50€"	"100gr
50gr"	sachet kraft	5,50 %	TB001	"vietnam_mao_feng_bio_sachet.jpg
vietnam_mao_feng_bio_vrac.jpg"	1,5-2 mn	70-80°C	12-15g/L	
Thés verts bruts														
China sencha bio	Thé vert bio	Chine	Ce thé vert Sencha de Chine présente une belle tasse limpide jaune dorée. La qualité de la récolte lui apporte un goût léger, délicat et subtil mais également un côté végétal. Il présente de belles feuilles plates.	Thé vert de Chine sencha, issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"6.50€
3.50€"	"100gr
50gr"	sachet kraft	5,50 %	TV002	"china_sencha_bio_sachet.jpg
china_sencha_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Gunpowder bio	Thé vert bio	Chine	Ce Gunpowder est un thé à la feuille roulée ; il est récolté dans la province de Jiangsu en Chine. Thé digestif et velouté à la liqueur dorée, au parfum frais et subtil, convient pour toute la journée. Thé de prédilection du rituel marocain qui s'accompagne très bien de feuilles de menthe fraîche.	Thé vert de Chine, Gunpowder issu de l'agriculture biologique, non aromatisé, avec des feuilles entières.	"8.50€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	TV001	"gunpowder_bio_sachet.jpg
gunpowder_bio_vrac.jpg"	2-3 mn	80°C	12/15g/L	
Matcha à cuisiner bio	Thé vert bio	Chine	Ce Matcha à cuisiner est idéal pour accompagner vos plats et patisseries. Faites place à votre créativité avec ce thé en poudre, délicat et unique.	Thé vert Matcha issu de l'agriculture biologique, non aromatisé, classification des feuilles broken.	24.50€	30gr	sachet hermetique	5,50 %	TVM01	"matcha_cuisine_bio_sachet.jpg
matcha_cuisine_bio_vrac.jpg"	0,25 mn	80°C	1g/L	
Thés Divers bruts			Thés divers bruts											
Thé pu erh bio	Thé pu erh	Chine	Le thé Pu Erh est recolté dans la province de Yunnan. Celui-ci est issu de grandes feuilles de thé vert fermentées qui donnent un thé rouge corsé avec une liqueur terreuse et une tasse foncée. Il est largement utilisé dans la médecine chinoise pour ses propriétés médicinales.	Thé Pu Erh de Chine, issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"14.90€
7.50€"	"100gr
50gr"	sachet kraft	5,50 %	TPE01	"the_pu_erh_bio_sachet.jpg
the_pu_erh_bio_vrac.jpg"	4-5 mn	100°C	12g/L	
China oolong shui xian bio	Thé oolong	Chine	La cueillette de notre thé Oolong est faite à la main et est riche en grosses feuilles et bourgeons. Le Oolong semi fermenté de qualité supérieure se rapproche du thé vert avec plus de complexité apportée au début de la fermentation. Celui-ci donne une tasse claire avec une saveur arômatique fraiche et des notes florales marquées. Pauvre en théine, notre thé peut être bu tout au long de la journée.	China Oolong issu de l'agriculture biologique, non aromatisé, avec feuilles entières. 	"14.90€
7.50€"	"100gr
50gr"	sachet kraft	5,50 %	TO001	"china_oolong_shui_xian_bio_sachet.jpg
china_oolong_shui_xian_bio_vrac.jpg"	1-3 mn	80°C	12-15g/L	
Maté			Maté											
Maté vert bio	Maté	Brésil	Le maté est une infusion traditionnelle sud americaine préparée en infusant des feuilles de la plante yorba mate. Cette boisson au parfum puissant est composée de caféine.	Mate vert issu de l'agriculture biologique, non aromatisé, classification des feuilles coupe grossière. 	"12.50€
6.50€"	"100gr
50gr"	sachet kraft	5,50 %	M0001	"mate_vert_bio_sachet.jpg
mate_vert_bio_vrac.jpg"	5-10 mn	100°C	14-17g/L	
Thés aromatisés														
Thés noirs aromatisés														
Chai thé noir bio	Thé noir épicé	Inde	Notre thé Chai est composé de thés noir indiens épicés, avec des éclats de gingembre, de cannelle, des clous de girofles, de l'anis, ainsi que de la cardamome moulue. Un régal et une explosion en bouche.	Thé noir Assam inde du sud (54%), batons de cannelle, fenouil, gingembre, anis, clous de girofle, cardamome moulue ; tous issus de l'agriculture biologique. Infusion épicée,  classification des feuilles coupe grossière. 	"9.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	IECN1	"chai_the_noir_bio_sachet.jpg
chai_the_noir_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
Rouge passion bio	Thé noir aromatisé saveur fruits rouges	Inde	Le thé noir Rouge Passion est la rencontre entre la profondeur corsée du thé noir Assam et la douceur des fruits rouges et de la verveine.	Thé noir Assam, Inde du sud, feuilles de mûre, arome naturel; verveine entière, raisin (raisin huile végétale), baie de sureau, framboise, mûre (2%), fraise, cassis, groseille ; tous issus de l'agriculture biologique. Saveur fruits rouges avec feuilles entières. 	"13.50€
6.80€"	"100gr
50gr"	sachet kraft	5,50 %	TNA02	"rouge_passion_bio_sachet.jpg
rouge_passion_bio_vrac.jpg"	3-5 mn	100°C	15-20g/L	
Délice fruité bio	Thé noir aromatisé, mélange saveur pêche, framboise et acerola	Chine	Ce thé Délice Fruité donne un parfum acidulé et délicat de l'acerola et de la framboise sur un fond de douceur donné par la pêche.	Thé vert China, Gunpowder, thé noir Darjeeling second flush, China Oolong arôme naturel, framboise, pêche ; tous issus de l'agriculture biologique. Saveur pêche, framboise, acerola.	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNA04	"delice_fruite_bio_sachet.jpg
delice_fruite_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Le comte bleu bio	Thé noir aromatisé Earl Grey saveur bergamote	Inde	Ce thé noir parfumé à la bergamote donne une note savoureuse et subtile à votre degustation.	Thé noir Assam Inde du sud, arôme naturel, fleurs de bleuet ; tous issus de l'agriculture biologique. Saveur bergamote. 	"11.50€
5.80€"	"100gr
50gr"	sachet kraft	5,50 %	TNA01	"le_comte_bleu_bio_sachet.JPG
le_comte_bleu_bio_vrac.JPG"	3-5 mn	100°C	12-15g/L	
Plaid canapé bio	Thé noir aromatisé saveur pomme cannelle	Inde	Ce thé noir Plaid Canapé est un thé noir connu pour son corps et sa saveur maltée. Il est associé à la pomme et à la cannelle et est rehaussé par un bouquet d'épices qui donne une explosion epicée en bouche.	Thé noir Assam Inde du sud, batons de cannelle, pomme, arôme naturel, écorces d'orange, graines de coriandre, poivre rose, clous de girofle, cardamome, baies de goji ; tous issus de l'agriculture biologique. Saveur pomme,cannelle. 	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNA06	"plaid_canape_bio_sachet.jpg
plaid_canape_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Soleil exotique bio	Thé noir aromatisé saveur mangue citron vert	Inde	Ce thé noir Soleil Exotique est rafraichissant et idéal pour un bon thé glacé. Le côté peps du citron mélangé à la mangue apporte une touche douce et sucrée. Il vous emportera au soleil.	Thé noir Assam Inde du sud, citronnelle, pomme, arôme naturel, gingembre, fleurs de souci, papaye, morceaux de mangue, griotte, ananas ; tous issus de l'agriculture biologique. Saveur mangue, citron vert. 	"10.50€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNA03	"soleil_exotique_bio_sachet.jpg
soleil_exotique_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Cocobricot bio	Thé noir aromatisé saveur abricot coco	Inde	Ce thé noir Cocobricot donne de l'éclat et de la fraîcheur à tous vos sens. La beauté du mélange, son parfum unique et son goût exceptionnel vous feront rêver.	Thé noir Assam Inde du sud, coco (8%), arôme naturel, papaye, abricot ; tous issus de l'agriculture biologique. Saveur abricot coco. 	"11.50€
5.95€"	"100gr
50gr"	sachet kraft	5,50 %	TNA05	"cocobricot_bio_sachet.jpg
cocobricot_bio_vrac.jpg"	3-5 mn	100°C	13g/L	
Pain d'épices bio	Thé noir aromatisé saveur pain d'épices	Inde/Chine	Ce thé noir Pain d'Épices, donne une saveur chaude et épicée ; idéal pour vous réchauffer en hiver. C'est une invitation à la gourmandise que vous offre ce thé. Il mêle les notes de cannelle, d'écorces d'orange, de vanille et bien d'autres épices savoureuses, ce qui vous transporte dans les jardins d'hiver.	Thé noir Assam*, -Inde du sud*, datte (datte, farine de riz)*, bâtons de cannelle*, thé vert China Sencha*, écorces d'orange*, arôme naturel, badiane*, clou de girofle*, cardamome*, cardamome moulue*, muscade*, vanille bourbon*. *Issu de l'agriculture biologique.	"10.80€
5.50€"	"100gr
50gr"	sachet kraft	5.50%	TNA07		2-4 mn	100°C	12-15g/L	
Thés verts aromatisés			thés verts aromatisés											
Chai thé vert bio	Thé vert épicé	Chine	Ce thé vert épicé donnera du pep's à votre journée grâce à la subtilité du thé vert au fini poivré avec des épices chaudes. Tasse puissante et unique qui permet de garder de la délicatesse.	Thé vert de Chine Sencha*(54%), bâtons de cannelle*, anis*, fenouil*, gingembre*, clou de girofle*, cardamome*. *Issu de l'agriculture biologique.	"9.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	IECV1	"chai_the_vert_bio_sachet.jpg
chai_the_vert_bio_vrac.jpg"	2-3 mn	100°C	15-20g/L	
Vanillier bio	"Thé vert aromatisé. 
Saveur vanille lavande citron"	Chine	Ce thé vert Vaillier bio est une rencontre merveilleuse entre la Chine et la Provence. Ajoutez à cela un goût unique de vanille. Quand le thé vert danse avec la vanille, cela nous donne des saveurs délicates et raffinées.	Thé vert China Sencha, citronnelle, écorces de citron, écorces d'orange, arôme naturel : lavande (4%), vanille bourbon ; tous issus de l'agriculture biologique. Saveur lavande citron.	"9.90€
5.20€"	"100gr
50gr"	sachet kraft	5,50 %	TVA01	vanillier_vrac.jpg	2-3 mn	75-80°C	12-15g/L	
Menthe power bio	"Thé vert aromatisé.
Saveur menthe poivrée"	Chine	Ce thé vert Menthe Power est un mélange de thé vert Gunpowder. Fin en bouche, avec la fraicheur et le goût légérement épicé de la menthe poivrée.	Thé vert China Gunpowder menthe poivree, arôme naturel ; tous issus de l'agriculture biologique. Saveur menthe poivrée. 	5.50€	50gr	sachet kraft	5,50 %	TVA05	"menthe_power_bio_sachet.jpg
menthe_power_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Langage de fleurs bio	"Thé vert aromatisé. 
Saveur rose fruitée"	Chine	Ce thé vert Langage de Fleurs charme nos papilles avec des notes douces et fleuries. Ce thé gourmand peut aussi bien se boire chaud que glacé grâce à l'élégance et la subtilité de la rose. 	Thé vert China Sencha* (77%), dattes (datte, farine de riz)* (21%), arôme naturel, pétales de rose*, fleurs d'immortelle*. *Issus de l'agriculture biologique. Saveur rose fruitée.	"8.50€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA04	"langage_de_fleurs_bio_sachet.jpg
langage_de_fleurs_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Douceur d'ailleurs bio	Thé vert aromatisé. Saveur mandarine-verveine		Ce thé vert Douceur d'Ailleurs est une séléction de thés renommés. Ajoutez à cela de la mandarine pour la fantaisie et de la verveine pour la douceur ; vous obtenez un doux mélange apaisant pour vos après-midi ou vos soirées.	The vert China Sencha*, the vert China Chun Mee*, the blanc Pai Mu Tan*, arome naturel, the vert Darjeeling OP*, ecorces d'orange*, verveine entiere*, fleurs de souci*. *Issu de l'agriculture biologique.Saveur mandarine-verveine. 	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA02	"douceur_d_ailleurs_bio_sachet.jpg
douceur_d_ailleurs_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Aïe aïe aïe bio	Thé vert aromatisé. Saveur fraise-jasmin-piment		Le thé vert Aïe Aïe Aïe est un délicat mélange de thé vert et blanc avec des tranches de fraises. Ce délice gourmand laisse ressortir le goût de la fraise avec une touche de jasmin et de piment en fin de bouche. Cela ne pique pas.	Thé vert China Sencha*, thé blanc Pai Mu Tan*, thé vert China Jasmin*, arôme naturel, fraise*, lavande*, chili*, échinacée pourpre*, guarana*. *Issu de l'agriculture biologique.	"10.90€
5.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA06	"aie_aie_aie_bio_sachet.jpg
aie_aie_aie_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Chinagrume bio	Thé vert aromatisé. Saveur goyave-pamplemousse	Chine	Ce thé vert Chinagrume est un surprenant mélange d'agrumes. Ce breuvage d'une fraicheur acidulée peut se boire aussi bien chaud que frais.	Thé vert de Chine Sencha*, écorces de citron*, arôme naturel, mandarine*, lavande*. *Issu de l'agriculture biologique. Quantité/litre: 12-15gr/l. Temps d'infusion: 2-3 min. Température: 70-80°C.	"8.50€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	TVA03	"chinagrume_bio_sachet.jpg
chinagrume_bio_vrac.jpg"	2-3 mn	70-80°C	12-15g/L	
Thés blancs aromatisés			thés blancs aromatisés											
Pep's bio	Thé blanc.              Saveur citron-ananas	Chine	Un coktail de fraicheur et une bouffée d'été s'installent dans votre tasse. Une rencontre douce et inattendue qui se déguste chaude comme froide.	Thé blanc Pai Mu Tan*, thé vert China Chun Mee*, écorces de citron*, arôme naturel, fleurs de souci*, ananas*. *Issu de l'agriculture biologique.	"17.50€
8.80€"	"100gr
50gr"	sachet kraft	5.50%	TBA01		2 mn	60-65°C	12-15g/L	
Girl Power bio	Thé blanc. Saveur vanille-rose	Chine	On retrouve dans ce mélange trois thés de grande qualité. Ce thé vous suprendra par sa douceur sauvage et paradisiaque. Il dégage des parfums de fleurs soutenus par une note de vanille. Un régal onctueux et délicat qui restera longuement en bouche.	Thé blanc Pai Mu Tan*, thé vert China Chun Mee*, thé blanc Mao Feng*, raisin (raisin, huile végétale)*, arôme naturel, pétales de rose* (2%), bourbon vanille* (1%). *Issu de l'agriculture biologique.	"15.95€
8.00€"	"100gr
50gr"	sachet kraft	5.50%	TBA02		2 mn	60-65°C	12-15g/L	
